customer_id,first_name,last_name,email_address,gender,registration_date,state,phone,zip_code,is_active
CLI-002684,Jacinto,Armas Peña,octaviopedroza@example.org,F,08/08/2024,Nuevo León,55-6336-0421,76509,true
CLI-051143,Germán,Valdés Fonseca,sonia22@example.com,F,23/12/2020,Nuevo León,81-3801-8090 ext. 3033,19597,True
CLI-048801,Pascual,Ojeda Mora,yolanda75@example.net,M,25/11/2019,Jalisco,998-0305-0405,97594,TRUE
CLI-031474,Barbara,Collazo Bañuelos,razobernardo@example.org,No especificado,14/08/2021,Jalisco,998-4090-3702,60943,False
CLI-010754,Carla,Gaona Alarcón,abrahamvaca@example.com,M,16/05/2022,Jalisco,222-9823-8010,48835,True
CLI-014388,Ruby,Quesada Padilla,humberto88@example.com,M,28/10/2023,Nuevo León,442-3901-9255,none,True
CLI-029088,Vanesa,Valles Zavala,lemusrosario@example.com,F,30/12/2022,Nuevo León,55-9289-3940 ext. 513,36390,true
CLI-002766,Omar,Robledo Quiroz,terrazasjoaquin@example.net,F,12/11/2021,Nuevo León,998-0451-5703 ext. 8922,84369,true
CLI-026265,Mayte,Galindo Mejía,wmares@example.org,M,14/07/2023,Jalisco,998-2899-1090,52853,false
CLI-015189,Luis Manuel,Soto Barragán,calderajuan-carlos@example.com,F,18/10/2023,Nuevo León,81-7645-9687,91716,True
CLI-030944,René,Galarza Ayala,nataliarodriguez@example.com,F,28/02/2023,Nuevo León,33-9083-6376,32259,true
CLI-036895,Minerva,Puente Merino,juanacrespo@example.org,M,02/07/2019,Nuevo León,442-8609-6986,29994,True
CLI-047830,Mónica,Cabrera Rivera,,M,01/07/2021,Nuevo León,222-8781-8291,null,TRUE
CLI-010983,Indira,Cervántez Ojeda,manuel80@example.net,F,10/11/2019,Nuevo León,222-4422-0376,NA,True
CLI-016771,Wilfrido,Portillo Saiz,ortaperla@example.org,M,31/03/2023,Nuevo León,998-5907-5792,69954,True
CLI-024980,Esperanza,Villareal Juárez,sotelomarco-antonio@example.net,M,29/11/2020,Nuevo León,998-7952-0861,74055,true
CLI-015939,Verónica,Rivera Cantú,danielserrato@example.org,M,28/10/2021,Jalisco,222-2288-1032 ext. 6841,63489,True
CLI-023655,Antonia,Bernal Reyna,sandrapacheco@example.com,M,01/01/2023,Jalisco,442-3504-8574 ext. 4794,74256,True
CLI-029444,Jorge Luis,Candelaria Piña,guillermina58@example.com,M,27/09/2020,Jalisco,55-3937-0951,54759,TRUE
CLI-035158,Luisa,Acevedo Tello,gaonaalma@example.com,No especificado,27/10/2024,Nuevo León,442-0144-2507 ext. 4394,NULL,True
CLI-025958,Santiago,Valentín Arguello,luzvarela@example.com,M,09/11/2020,Nuevo León,33-0907-2547,55982,TRUE
CLI-052788,María Luisa,Saldivar Bermúdez,fterrazas@example.net,M,20/12/2024,Nuevo León,33-3557-6387,41282,false
CLI-011187,Armando,Almanza Ozuna,cledesma@example.org,M,07/03/2023,Nuevo León,442-4497-8190,19259,True
CLI-022493,Germán,Morales Olivas,nancy30@example.com,M,19/08/2023,Nuevo León,81-3432-6581 ext. 4598,42115,False
